iter	Passed	Remaining
0	70	10560
1	139	10355
2	201	9892
3	264	9637
4	335	9718
5	397	9551
6	452	9253
7	516	9160
8	574	9005
9	633	8862
10	692	8749
11	714	8217
12	774	8163
13	831	8081
14	891	8019
15	948	7946
16	1007	7880
17	1069	7841
18	1127	7776
19	1190	7736
20	1247	7664
21	1307	7606
22	1366	7544
23	1425	7485
24	1484	7420
25	1547	7380
26	1607	7321
27	1664	7253
28	1725	7199
29	1786	7146
30	1845	7083
31	1905	7026
32	1962	6957
33	2021	6897
34	2080	6837
35	2146	6797
36	2220	6782
37	2294	6762
38	2363	6726
39	2428	6678
40	2491	6624
41	2556	6574
42	2622	6525
43	2695	6493
44	2761	6442
45	2831	6400
46	2901	6359
47	2971	6315
48	3036	6259
49	3099	6199
50	3164	6143
51	3226	6080
52	3293	6027
53	3354	5963
54	3418	5904
55	3485	5850
56	3548	5789
57	3613	5731
58	3676	5670
59	3735	5603
60	3793	5534
61	3851	5466
62	3908	5397
63	3965	5329
64	4022	5259
65	4074	5186
66	4127	5112
67	4182	5043
68	4235	4971
69	4295	4909
70	4355	4846
71	4413	4781
72	4515	4762
73	4605	4730
74	4671	4671
75	4731	4607
76	4792	4543
77	4853	4479
78	4915	4417
79	4976	4354
80	5043	4296
81	5113	4240
82	5177	4179
83	5246	4122
84	5311	4062
85	5376	4001
86	5437	3937
87	5498	3873
88	5559	3810
89	5625	3750
90	5688	3687
91	5748	3624
92	5808	3559
93	5868	3496
94	5930	3433
95	5992	3371
96	6052	3306
97	6111	3242
98	6174	3180
99	6235	3117
100	6294	3053
101	6351	2988
102	6415	2927
103	6473	2863
104	6537	2801
105	6611	2744
106	6669	2680
107	6730	2617
108	6788	2553
109	6848	2490
110	6907	2426
111	6968	2364
112	7027	2301
113	7093	2240
114	7152	2176
115	7214	2114
116	7271	2051
117	7331	1988
118	7400	1927
119	7466	1866
120	7533	1805
121	7603	1744
122	7665	1682
123	7730	1620
124	7792	1558
125	7855	1496
126	7914	1433
127	7978	1371
128	8041	1309
129	8104	1246
130	8165	1184
131	8231	1122
132	8291	1059
133	8350	997
134	8408	934
135	8465	871
136	8524	808
137	8583	746
138	8645	684
139	8705	621
140	8763	559
141	8826	497
142	8887	435
143	8945	372
144	9005	310
145	9067	248
146	9131	186
147	9192	124
148	9254	62
149	9319	0
