Year,Name,College,POS,Height (in),Weight (lbs),BMI,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
1987,Mike Adams,Arizona State,CB,69.8,198.0,28.5699624797826,4.42,13.0,32.0,118.0,4.6,
1987,John Adickes,Baylor,C,74.8,266.0,33.42210243358403,4.97,25.0,26.5,103.0,4.6,
1987,Tommy Agee,Auburn,FB,71.8,217.0,29.59144482119164,,15.0,,,,
1987,David Alexander,Tulsa (OK),C,75.0,279.0,34.8688,5.13,22.0,27.5,105.0,4.33,
1987,Lyneal Alston,Southern Mississippi,WR,72.1,202.0,27.31719891274448,4.64,7.0,32.0,114.0,4.52,
1987,Steve Alvord,Washington,DE,76.5,273.0,32.794053569140075,4.86,18.0,28.5,108.0,4.49,
1987,Anthony Anderson,Grambling State (LA),CB,73.6,208.0,26.993738185255204,4.69,,31.0,111.0,4.48,
1987,Joe Armentrout,Wisconsin,FB,72.3,220.0,29.58703266893553,4.71,18.0,31.0,116.0,4.16,
1987,Bruce Armstrong,Louisville,OT,76.0,284.0,34.56578947368421,5.05,22.0,27.0,100.0,4.81,
1987,Gene Atkins,Florida A&M,FS,71.3,191.0,26.412507450296935,4.58,14.0,31.0,120.0,4.55,
1987,Robert Awalt,San Diego State,TE,77.0,239.0,28.33816832518131,4.86,,28.0,108.0,4.45,
1987,Stephen Baker,Frenso State (CA),WR,68.0,157.0,23.86916089965398,4.6,,31.0,116.0,4.41,
1987,Jerry Ball,Southern Methodist (TX),DT,72.1,292.0,39.488228131294,5.14,23.0,24.0,96.0,4.77,
1987,Robert Banks,Notre Dame,DT,76.0,250.0,30.42763157894737,4.98,18.0,,,,
1987,Roy Banks,Eastern Illinois,WR,70.1,188.0,26.895346163316724,4.52,4.0,32.0,114.0,4.26,
1987,Roland Barbay,Louisiana State,DE,75.4,259.0,32.02671516720725,5.18,13.0,21.5,91.0,4.59,
1987,Steve Bartalo,Colorado State,RB,68.8,201.0,29.852073756084373,4.83,14.0,28.5,114.0,4.05,
1987,Doug Bartlett,Northern Illinois,OLB,74.3,250.0,31.83594209934263,4.75,31.0,31.0,112.0,4.12,
1987,Harris Barton,North Carolina,C,76.3,280.0,33.8114877295081,5.03,24.0,31.0,106.0,4.46,
1987,Gerald Bayless,Bowling Green (OH),TE,75.8,235.0,28.7531067035178,4.82,,26.0,108.0,4.34,
1987,Albert Bell,Alabama,WR,70.8,174.0,24.4027099492483,4.63,4.0,29.5,114.0,4.5,
1987,Leonard Bell,Indiana,SS,70.8,201.0,28.189337355166142,4.61,18.0,30.0,106.0,4.3,
1987,Mark Bellini,Brigham Young,WR,70.9,178.0,24.89332200739634,,8.0,,,,
1987,Rod Bernstine,Texas A&M,RB,75.0,238.0,29.744711111111112,4.68,18.0,29.5,112.0,4.39,
1987,Ray Berry,Baylor,ILB,74.5,226.0,28.62537723525967,4.85,22.0,28.5,105.0,4.47,
1987,Steve Beuerlein,Notre Dame,QB,74.4,203.0,25.781340328361658,5.1,3.0,23.0,93.0,4.63,
1987,Alvin Blount,Eastern Kentucky,WR,69.5,201.0,29.253765333057295,4.58,13.0,35.0,116.0,4.17,
1987,Ron Bohm,Illinois,DT,74.6,254.0,32.0856902586808,5.12,13.0,24.5,103.0,4.54,
1987,John Bosa,Boston College,DE,76.1,267.0,32.41136135626234,4.85,27.0,28.0,99.0,4.41,
1987,Stephen Braggs,Texas,CB,69.0,176.0,25.98781768536022,4.55,7.0,28.5,111.0,4.1,
1987,David Brandon,Memphis,OLB,75.1,223.0,27.79587270235337,4.73,9.0,26.5,108.0,4.45,
1987,Jeff Bregel,Southern California,OG,76.3,279.0,33.690732416188425,5.4,20.0,28.5,108.0,4.63,
1987,James Brim,Wake Forest,WR,75.0,183.0,22.87093333333333,4.53,7.0,32.0,116.0,4.12,
1987,Louis Brock,Southern California,CB,70.6,163.0,22.989711818568487,,,,,,
1987,Jerome Brown,Miami (FL),DT,74.3,292.0,37.184380372032194,4.86,17.0,,,,
1987,Tom Brown,Pittsburgh,RB,72.5,218.0,29.15652794292509,4.69,19.0,25.5,97.0,4.35,
1987,Jason Buck,Brigham Young,DE,77.0,250.0,29.642435486591328,,19.0,,,,
1987,Tony Burse,Middle Tennessee State,RB,72.0,220.0,29.834104938271604,4.71,20.0,27.5,104.0,4.88,
1987,Cody Carlson,Baylor,QB,75.0,191.0,23.870755555555558,4.82,,29.5,111.0,4.45,
1987,Mark Carrier,Nicholls State (LA),WR,71.8,182.0,24.81863114035428,4.46,9.0,30.0,114.0,4.51,
1987,Toby Caston,Louisiana State,OLB,73.0,235.0,31.00112591480578,4.82,10.0,32.5,117.0,4.55,
1987,Dick Chapura,Missouri,DT,75.4,275.0,34.005199501860986,,,,,,
1987,Robert Clark,North Carolina Central,WR,69.3,170.0,24.885007568990254,4.58,4.0,28.5,114.0,4.58,
1987,John Clay,Missouri,OT,77.4,320.0,37.551162123002754,5.51,16.0,25.0,85.0,4.77,
1987,Michael Clemons,William & Mary (VA),TE,64.9,163.0,27.205301032048826,4.67,9.0,29.0,108.0,4.42,
1987,Joey Clinkscales,Tennessee,WR,73.0,193.0,25.460499155563898,4.61,,32.5,103.0,4.43,
1987,Chris Conlin,Penn State,OT,75.4,285.0,35.241752211019566,5.33,21.0,23.0,92.0,4.59,
1987,Toi Cook,Stanford,CB,70.3,185.0,26.315789473684216,4.58,,29.0,114.0,4.3,
1987,Dave Croston,Iowa,OT,76.8,281.0,33.491855197482636,5.48,14.0,24.5,92.0,4.76,
1987,Brian Davis,Nebraska,CB,73.1,189.0,24.864651424785873,4.45,8.0,35.5,119.0,4.17,
1987,Greg Davis,Citadel (SC),K,71.0,197.0,27.47292203927792,5.07,14.0,22.0,104.0,4.68,
1987,John Davis,Georgia Tech,OG,75.9,301.0,36.731466581956354,5.53,21.0,21.0,,,
1987,Mark Dennis,Illinois,OT,78.3,292.0,33.482251353392414,5.29,18.0,26.0,97.0,4.71,
1987,John Diettrich,Ball State (IN),K,72.8,194.0,25.73322968240551,,1.0,,,,
1987,Randy Dixon,Pittsburgh,OG,75.6,292.0,35.91654768903447,5.28,24.0,25.0,90.0,5.17,
1987,Karl Dorrell,UCLA,WR,71.0,188.0,26.217813925808372,4.67,8.0,30.5,112.0,4.44,
1987,D.J. Dozier,Penn State,RB,72.3,204.0,27.435248474831127,,,34.0,122.0,,
1987,Doug Dubose,Nebraska,RB,71.0,191.0,26.636183296964887,,11.0,,,,
1987,David Dudley,Arkansas,OLB,74.1,210.0,26.88674348593377,4.65,15.0,27.5,111.0,4.38,
1987,Curtis Duncan,Northwestern,WR,70.3,180.0,25.604551920341397,4.44,12.0,31.0,117.0,4.56,
1987,Scott Eccles,Eastern New Mexico,TE,76.3,243.0,29.343541136680244,4.57,19.0,31.0,116.0,4.2,
1987,Onzy Elam,Tennessee State,OLB,73.8,216.0,27.880230021812416,4.71,19.0,29.5,110.0,4.35,
1987,Tony Elliott,Central Michigan,SS,70.4,190.0,26.95030023243801,4.84,8.0,27.0,103.0,4.21,
1987,Larry Emory,Wisconsin,RB,68.6,193.0,28.83131178335558,4.6,13.0,30.0,116.0,4.02,
1987,Byron Evans,Arizona,ILB,74.0,220.0,28.243243243243246,4.79,17.0,29.5,117.0,4.48,
1987,Donald Evans,Winston-Salem State (NC),DT,73.8,262.0,33.81768641534654,4.62,29.0,31.0,115.0,4.52,
1987,Thomas Everett,Baylor,FS,68.0,177.0,26.909818339100344,4.56,11.0,,,,
1987,Charles Faucette,Maryland,ILB,74.8,240.0,30.15528039120364,4.91,,30.0,113.0,4.46,
